id,name,task_description,area,budgeted_amount,status,asset_id,asset_type,fiscal_year,start_date,inactive,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1850147310,BRIDGE REPAIRS,Columbus Avenue Bridge Handicapped Ramp and Intersection Improvements,Engineering and Construction,100000,Planned,Columbus Avenue Bridge,Bridge,2017,2/8/2017,f,Manchester,6,21,42003210700,1,21,1,8-Jan,40.45848456,-80.02443938
578777540,CARNAHAN ROAD WENZELL AVENUE (TIP),Construction,Engineering and Construction,560000,Planned,Carnahan Road Bridge,Bridge,2017,2/8/2017,f,Banksville,2,20,42003202300,5,20,6,9-Apr,40.40714062,-80.03434176
579358971,CARNAHAN ROAD WENZELL AVENUE (TIP),Construction,Engineering and Construction,2240000,Planned,Carnahan Road Bridge,Bridge,2017,2/8/2017,f,Banksville,2,20,42003202300,5,20,6,9-Apr,40.40714062,-80.03434176
726259916,CHARLES ANDERSON BRIDGE (TIP),Preliminary Engineering Phase,Engineering and Construction,35450,Planned,Charles Anderson Bridge,Bridge,2017,2/8/2017,f,Central Oakland,3,4,42003040900,3,4,4,8-Feb,40.43441416,-79.95013126
302632301,,Exterior Masonry Repairs,,,Completed,Firehouse 19,Facility,2017,8/2/2017,f,Swisshelm Park,5,14,42003141100,3,14,4,19-Feb,40.42081761,-79.89982829
1947652660,,demo park,,,Completed,Fineview Park Sports Court 1,Court,2019,4/23/2019,,Fineview,1,25,42003250900,1,25,1,10-Jan,40.46175343,-80.00398186
9999999999,TESTING,This id is a test to check for empty values,,,,,,,,,,,,,,,,,,
579358971,CARNAHAN ROAD WENZELL AVENUE (TIP),Construction,Admission,2240000,Planned,Carnahan Road Bridge,Bridge,2017,2/8/2017,f,Banksville,2,20,42003202300,5,20,6,9-Apr,40.40714062,-80.03434176
579358971,CARNAHAN ROAD WENZELL AVENUE (TIP),Construction,Testing,2240000,Planned,Carnahan Road Bridge,Bridge,2017,2/8/2017,f,Banksville,2,20,42003202300,5,20,6,9-Apr,40.40714062,-80.03434176
